Feature,Instance,X,Y,Weight
A,146,3196.69,1282.62,0.11
A,147,1902.9,1606.49,0.33
A,148,2971.84,2019.37,0.03
A,149,4886.32,2773.67,0.08
A,150,2664.12,1056.28,0.02
A,151,675.81,1917.68,0.04
A,152,4763.75,1937.49,0.02
A,153,4854.98,2160.07,0.1
A,154,4083.75,1006.78,0.02
A,155,1404.15,93.96,0.4
A,156,4758.42,1231.86,0.05
A,157,4956.3,488.17,0.07
A,158,1721.98,1675.82,0.05
A,159,3107.17,23.37,0.18
A,160,3846.1,4260.02,0.2
A,161,81.07,1814.28,0.12
A,162,4398.06,4211.77,0.05
A,163,2492.82,2025.75,0.11
A,164,2397.67,313.1,0.05
A,165,3390.53,89.07,0.54
A,166,3658.01,242.68,0.05
A,167,1949.56,1598.85,0.2
A,168,2563.92,764.43,0.17
A,169,4348.3,598.1,0.2
A,170,423.75,3018.73,0.24
A,171,3222.14,2084.74,0.03
A,172,2593.99,1050.31,0.09
A,173,1781.05,3996.9,0.39
A,174,4996.95,4864.08,0.01
A,175,4499.14,2263.07,0.2
A,176,1533.88,19.86,0.03
A,177,306.23,4035.75,0.03
A,178,1261.17,4860.79,0.2
A,179,1914.97,4802.55,0.19
A,180,2458.17,490.09,0.05
A,181,4802.39,3998.39,0.03
A,182,4027.29,675.06,0.11
A,183,1539.75,2378.53,0.38
A,184,3565.12,1249.08,0.2
A,185,3677.04,1095.69,0.25
A,186,3119.37,1894.19,0.1
A,187,1302.47,4453.2,0.02
A,188,834.13,1235.14,0.08
A,189,4007.53,4774.58,0.1
A,190,738.36,4072.39,0.49
A,191,418.72,3719.99,0.06
A,192,3639.68,4886.66,0.35
A,193,1229.96,4476.24,0.1
A,194,2326.19,4478.09,0.03
A,195,2254.49,3216.51,0.16
A,196,1721.89,1507.19,0.14
A,197,3752.98,2494.84,0.05
A,198,3314.99,1673.96,0.22
A,199,3791.47,706.93,0.02
A,200,3316.19,4839.33,0.04
A,201,4502.55,239.23,0.16
A,202,3668.0,1919.91,0.03
A,203,2847.24,1307.02,0.15
A,204,2204.07,2985.28,0.09
A,205,2309.52,2714.32,0.07
A,206,4253.72,4519.91,0.29
A,207,214.24,4303.61,0.2
A,208,4761.86,1620.06,0.26
A,209,1593.35,19.12,0.24
A,210,2036.6,640.1,0.03
A,211,3078.09,1844.57,0.04
A,212,16.07,2791.19,0.02
A,213,657.39,3914.4,0.2
A,214,4617.15,3663.96,0.03
A,215,2645.33,144.79,0.22
A,216,3289.63,2493.35,0.28
A,217,4034.57,4845.66,0.1
A,218,2379.37,3240.62,0.16
A,219,2483.11,552.79,0.1
A,220,3505.68,4932.31,0.23
A,221,833.22,648.56,0.1
A,222,2837.24,2360.68,0.04
A,223,207.6,3874.43,0.04
A,224,306.27,3604.82,0.2
A,225,974.87,4874.13,0.39
A,226,253.55,2253.91,0.09
A,227,408.92,3501.43,0.06
A,228,1528.85,3679.81,0.05
A,229,1542.87,4778.5,0.07
A,230,3399.34,1625.41,0.04
A,231,1313.11,1398.33,0.2
A,232,331.72,1246.6,0.12
A,233,36.84,4381.96,0.03
A,234,236.83,254.97,0.05
A,235,3760.81,2190.2,0.44
A,236,4968.16,2446.39,0.2
A,237,779.27,2546.81,0.17
A,238,551.54,1074.67,0.07
A,239,4291.42,3759.78,0.1
A,240,3240.22,2352.86,0.03
A,241,3327.81,3694.52,0.2
A,242,996.43,4824.29,0.2
A,243,4640.46,2562.5,0.39
A,244,259.74,545.51,0.01
A,245,2902.9,615.92,0.03
A,246,4043.98,3862.75,0.2
A,247,2058.64,3636.23,0.2
A,248,3633.15,4085.37,0.38
A,249,4235.35,3523.03,0.09
A,250,3481.05,4467.6,0.2
A,251,2422.05,926.84,0.09
A,252,1623.61,1255.01,0.05
A,253,1293.34,2213.03,0.28
A,254,3036.11,803.21,0.11
A,255,510.48,3452.64,0.07
A,256,2418.91,3768.61,0.2
A,257,2577.89,1921.82,0.18
A,258,4862.01,1953.18,0.04
A,259,2755.75,3387.26,0.18
A,260,4909.28,2163.37,0.15
A,261,4679.55,2694.11,0.44
A,262,3889.14,199.03,0.25
A,263,372.88,1169.23,0.15
A,264,4206.36,1345.56,0.07
A,265,2755.97,4173.21,0.11
A,266,539.29,2653.33,0.17
A,267,4297.5,2648.15,0.2
A,268,1229.81,4473.22,0.44
A,269,3717.83,638.86,0.04
A,270,4895.79,875.4,0.28
A,271,4067.18,3010.52,0.06
A,272,3273.05,2298.43,0.03
A,273,2978.39,1641.37,0.02
A,274,742.31,2040.55,0.07
A,275,3818.46,3959.43,0.18
A,276,140.54,4372.32,0.3
A,277,542.97,1866.31,0.09
A,278,440.59,2201.16,0.2
A,279,2922.72,496.77,0.02
A,280,3009.09,3989.91,0.29
A,281,217.43,4439.57,0.2
A,282,2335.99,984.52,0.07
A,283,4192.69,3955.26,0.2
A,284,815.9,570.84,0.06
A,285,2141.82,2644.75,0.11
A,286,2651.51,4375.39,0.02
A,287,2507.49,1825.75,0.15
A,288,2483.63,4069.99,0.14
A,289,244.55,4246.64,0.03
A,290,1251.08,1264.45,0.02
A,291,558.14,1782.33,0.03
A,292,3825.73,3658.62,0.03
A,293,2321.97,3953.67,0.12
A,294,2090.5,128.92,0.01
A,295,683.32,1948.76,0.19
A,296,3240.68,2546.51,0.08
A,297,2034.55,3497.85,0.2
A,298,471.66,19.32,0.2
A,299,3643.76,1621.32,0.07
A,300,22.98,4702.24,0.04
A,301,4472.53,4883.58,0.05
A,302,4395.4,3754.4,0.2
A,303,4185.67,2561.91,0.18
A,304,11.61,3832.02,0.13
A,305,1967.47,3898.41,0.07
A,306,4028.09,2153.4,0.25
A,307,3727.27,364.76,0.08
A,308,4595.3,805.61,0.32
A,309,4775.57,537.86,0.19
A,310,3664.05,3283.16,0.29
A,311,113.57,3971.06,0.03
A,312,4961.09,3757.35,0.02
A,313,4085.85,674.6,0.09
A,314,2105.9,2051.21,0.13
A,315,4366.47,2831.05,0.06
A,316,175.42,2280.81,0.37
A,317,1402.7,4328.28,0.03
A,318,3701.48,2157.84,0.09
A,319,4249.46,131.24,0.12
A,320,4505.44,2512.27,0.29
A,321,91.08,227.16,0.17
A,322,1551.84,2308.24,0.1
A,323,832.07,2493.94,0.04
A,324,2523.65,2628.96,0.06
A,325,4581.82,2536.11,0.08
A,326,1385.1,1874.86,0.53
A,327,3384.13,3676.72,0.06
A,328,4948.21,2926.66,0.09
A,329,2503.01,844.4,0.04
A,330,4414.12,3169.03,0.02
A,331,1122.14,3570.92,0.04
A,332,675.06,2184.86,0.05
A,333,3709.87,2982.22,0.16
A,334,466.53,654.53,0.04
A,335,3185.72,4127.68,0.03
A,336,2173.08,2993.74,0.33
A,337,3725.63,4653.17,0.13
A,338,3816.51,194.28,0.26
A,339,1124.73,3616.79,0.11
A,340,1205.29,1251.05,0.02
A,341,247.85,4152.44,0.03
A,342,250.26,4903.65,0.19
A,343,1255.57,334.67,0.03
A,344,1201.63,4974.2,0.1
A,345,3800.1,2389.55,0.03
A,346,804.18,2938.85,0.04
A,347,683.87,2898.1,0.05
A,348,2261.19,776.84,0.04
A,349,1778.61,794.93,0.06
A,350,1661.1,647.96,0.12
A,351,4058.18,1249.37,0.14
A,352,2959.13,26.04,0.14
A,353,2737.26,2634.36,0.22
A,354,409.59,4638.46,0.05
A,355,1719.48,1099.28,0.18
A,356,652.67,1993.01,0.22
A,357,2585.75,175.18,0.04
A,358,3585.66,1443.87,0.04
A,359,4043.28,2175.75,0.02
A,360,1091.68,1157.28,0.17
A,361,4979.17,3983.93,0.2
A,362,2378.97,4544.66,0.04
A,363,3052.21,3822.83,0.15
A,364,2769.49,3190.14,0.17
A,365,4958.36,4378.42,0.01
A,366,2469.25,4593.34,0.2
A,367,2306.24,3935.6,0.15
A,368,4168.2,1506.01,0.21
A,369,1018.81,3823.57,0.18
A,370,1741.48,2409.48,0.02
A,371,1051.1,118.75,0.09
A,372,425.57,1276.45,0.08
A,373,3768.79,1113.98,0.08
A,374,215.48,1406.21,0.2
A,375,2755.32,4096.19,0.2
A,376,1083.89,4135.79,0.02
A,377,2690.27,71.44,0.18
A,378,672.84,1247.18,0.2
A,379,4538.78,307.19,0.15
A,380,3214.11,2810.83,0.23
A,381,3180.9,1481.26,0.01
A,382,3493.31,757.02,0.09
A,383,2076.03,4742.27,0.11
A,384,4535.54,1434.58,0.02
A,385,4273.51,1591.49,0.14
A,386,1512.8,189.23,0.1
A,387,1450.37,841.82,0.14
A,388,2996.74,4301.9,0.08
A,389,1152.7,1006.77,0.16
A,390,762.34,3114.63,0.05
A,391,325.3,3852.34,0.03
A,392,1117.8,252.75,0.06
A,393,67.18,322.48,0.05
A,394,1327.17,1650.01,0.2
A,395,4628.92,2656.76,0.2
A,396,3994.35,915.7,0.21
A,397,4637.67,2816.54,0.03
A,398,3962.01,2667.68,0.07
A,399,855.1,1792.97,0.12
A,400,1022.93,2692.91,0.01
A,401,2933.09,2958.74,0.09
A,402,2585.63,2234.18,0.24
A,403,3901.71,4979.69,0.12
A,404,3783.23,3734.15,0.2
A,405,756.7,3272.76,0.07
A,406,1085.71,4196.1,0.03
A,407,4691.05,1958.4,0.13
A,408,1981.3,1833.07,0.02
A,409,4572.46,1351.49,0.04
A,410,3851.74,3272.83,0.03
A,411,4839.64,3214.03,0.06
A,412,4521.82,4519.02,0.38
A,413,4095.12,611.85,0.11
A,414,1220.77,2038.13,0.2
A,415,580.82,1420.73,0.25
A,416,1837.37,3349.37,0.01
A,417,4216.24,891.6,0.2
A,418,1125.33,1346.74,0.2
A,419,2947.88,780.82,0.2
A,420,3232.34,1701.35,0.2
A,421,3115.3,2127.02,0.05
A,422,805.23,3737.55,0.06
A,423,4336.68,3035.78,0.2
A,424,533.75,1349.42,0.12
A,425,2985.49,4410.92,0.08
A,426,1519.21,4537.87,0.12
A,427,2883.95,2466.54,0.11
A,428,283.09,4278.75,0.08
A,429,2231.18,239.13,0.23
A,430,1322.73,2301.24,0.03
A,431,1100.42,4095.02,0.13
A,432,4572.74,4054.15,0.02
A,433,3538.74,3964.81,0.03
A,434,4431.21,845.01,0.2
A,435,3339.82,752.62,0.05
A,436,3939.5,240.03,0.2
A,437,4238.77,3965.16,0.12
A,438,3588.16,4738.15,0.08
A,439,2709.13,2461.11,0.09
A,440,921.35,976.2,0.27
A,441,315.6,2222.23,0.07
A,442,4519.13,935.26,0.17
A,443,4811.32,2454.51,0.04
A,444,4075.58,3225.11,0.03
A,445,957.35,1575.5,0.02
A,446,469.24,3279.96,0.2
A,447,3755.24,2212.84,0.18
A,448,865.78,808.66,0.01
A,449,4898.84,2507.44,0.1
A,450,1159.04,142.65,0.26
A,451,2743.56,2195.38,0.06
A,452,3327.83,39.38,0.12
A,453,824.66,86.87,0.05
A,454,1022.39,1241.18,0.02
A,455,566.33,3599.98,0.03
A,456,3120.77,1742.29,0.07
A,457,3543.6,297.87,0.02
A,458,484.99,13.98,0.05
A,459,718.19,294.43,0.03
A,460,3896.96,1648.07,0.15
A,461,1043.01,2436.29,0.35
A,462,4611.01,4515.66,0.1
A,463,3400.78,566.03,0.09
A,464,4173.48,4623.4,0.02
A,465,2432.21,1501.95,0.29
A,466,1469.55,3310.12,0.06
A,467,1202.88,163.48,0.2
A,468,2856.82,3805.56,0.03
A,469,3573.74,4236.44,0.05
A,470,2080.76,4836.49,0.27
A,471,944.04,3359.44,0.58
A,472,4608.4,1045.71,0.13
A,473,2320.94,1530.71,0.02
A,474,1315.77,540.24,0.06
A,475,2562.46,4482.99,0.06
A,476,1603.8,2772.62,0.13
A,477,567.65,4078.79,0.1
A,478,416.09,3787.72,0.03
A,479,897.93,218.65,0.05
A,480,2503.04,1130.12,0.02
A,481,1115.45,942.21,0.18
A,482,3760.4,2248.01,0.12
A,483,3951.52,4733.08,0.03
A,484,2976.45,1160.33,0.34
A,485,1969.77,2556.74,0.2
A,486,1539.71,3133.27,0.16
A,487,136.69,1842.01,0.2
A,488,4241.71,4447.69,0.05
A,489,2830.83,2650.84,0.01
A,490,2112.28,1663.28,0.13
A,491,1051.66,2872.86,0.08
A,492,2945.0,4285.98,0.02
A,493,607.17,2076.53,0.05
A,494,3836.91,1538.7,0.05
A,495,3415.96,3393.39,0.04
A,496,2113.22,1194.96,0.26
A,497,1523.01,1618.54,0.01
A,498,3892.15,2209.66,0.06
A,499,3538.13,4509.86,0.04
A,500,3681.06,879.03,0.17
A,501,633.9,3919.92,0.08
A,502,791.49,2930.97,0.06
A,503,4159.93,2496.85,0.02
A,504,330.85,4611.43,0.11
A,505,3432.21,563.81,0.2
A,506,1967.44,1048.45,0.05
A,507,577.29,2602.42,0.12
A,508,4311.82,1370.67,0.13
A,509,3323.85,2415.06,0.02
A,510,2512.3,386.49,0.1
A,511,2630.23,4967.27,0.03
A,512,3629.14,1538.99,0.08
A,513,4224.23,3413.37,0.34
A,514,2472.49,423.25,0.19
A,515,1854.67,2562.1,0.53
A,516,2931.72,3368.63,0.04
A,517,3740.26,1631.02,0.01
A,518,33.42,43.78,0.06
A,519,1072.17,1472.8,0.1
A,520,4822.85,260.51,0.04
A,521,494.32,927.83,0.04
A,522,3672.18,4730.09,0.05
A,523,823.04,2377.27,0.09
A,524,2119.92,2105.06,0.04
A,525,2410.95,1250.95,0.47
A,526,1291.65,918.11,0.17
A,527,287.48,2588.54,0.03
A,528,4102.59,1565.31,0.02
A,529,1674.99,2430.19,0.26
A,530,4670.87,4325.36,0.04
A,531,1796.96,1761.33,0.36
A,532,3696.27,3636.75,0.06
A,533,3420.05,3351.63,0.03
A,534,2542.03,2663.41,0.2
A,535,3628.71,2215.75,0.02
A,536,4480.8,396.26,0.19
A,537,2610.98,3484.59,0.09
A,538,3228.51,3161.41,0.01
A,539,853.19,3709.56,0.21
A,540,2920.25,3983.58,0.32
A,541,3140.49,2375.15,0.07
A,542,1789.7,3680.75,0.2
A,543,3089.1,4863.47,0.21
A,544,1101.53,4722.35,0.11
A,545,308.48,1622.16,0.04
A,546,643.72,3752.25,0.11
A,547,2933.78,4955.21,0.06
A,548,4204.89,1893.12,0.07
A,549,3989.13,3091.18,0.16
A,550,951.4,2815.12,0.24
A,551,3247.29,2711.06,0.06
A,552,4553.11,367.27,0.03
A,553,1243.51,342.57,0.12
A,554,2454.16,3779.91,0.44
A,555,2577.78,2956.0,0.2
A,556,3675.4,4661.15,0.09
A,557,3818.35,2552.81,0.03
A,558,3780.49,1111.37,0.03
A,559,3568.27,3503.09,0.1
A,560,2697.24,4739.19,0.1
A,561,2370.7,4112.26,0.2
A,562,470.43,325.97,0.11
A,563,3239.23,2058.84,0.13
A,564,4158.89,1199.81,0.13
A,565,1622.59,1329.88,0.12
A,566,1671.61,499.44,0.18
A,567,3451.11,1684.73,0.16
A,568,524.19,1592.16,0.02
A,569,4284.05,1195.49,0.11
A,570,1454.75,1574.83,0.01
A,571,1526.86,1846.81,0.28
A,572,4838.7,2189.17,0.24
A,573,1842.9,3339.49,0.08
A,574,2756.84,555.36,0.22
A,575,3111.72,2393.24,0.2
A,576,3338.39,3087.75,0.11
A,577,2270.48,1385.73,0.2
A,578,4425.2,1140.3,0.2
A,579,2056.27,1692.81,0.08
A,580,4625.27,2198.33,0.01
A,581,4684.2,4613.81,0.2
A,582,2205.93,862.8,0.02
A,583,738.23,1226.89,0.07
A,584,414.5,1224.55,0.44
A,585,1918.74,4464.09,0.16
A,586,3494.75,4103.5,0.13
A,587,570.89,1126.14,0.2
A,588,2641.47,1609.9,0.05
A,589,1676.5,1195.24,0.16
A,590,4101.21,532.7,0.17
A,591,1773.76,4021.5,0.2
A,592,2203.24,562.85,0.2
A,593,4085.39,1419.06,0.2
A,594,4488.46,4916.34,0.01
A,595,2373.69,2591.15,0.18
A,596,3093.65,4946.89,0.09
A,597,295.45,2246.8,0.18
A,598,575.22,3319.43,0.04
A,599,4832.33,99.85,0.23
A,600,3082.01,1186.2,0.11
A,601,1113.18,618.36,0.02
A,602,1210.79,2607.73,0.12
A,603,371.25,3675.25,0.09
A,604,2863.43,4830.94,0.16
A,605,791.54,2275.42,0.02
A,606,3833.57,3326.68,0.17
A,607,4485.2,4897.73,0.39
A,608,3995.87,3809.63,0.09
A,609,3877.64,1988.76,0.05
A,610,3846.41,3938.54,0.15
A,611,2472.49,4086.78,0.02
A,612,2352.18,1510.09,0.02
A,613,4684.47,2371.85,0.12
A,614,3558.32,4594.99,0.2
A,615,47.11,1616.09,0.02
A,616,3643.53,713.72,0.07
A,617,3886.76,4144.28,0.2
A,618,4480.66,2666.83,0.13
A,619,2466.94,4360.63,0.16
A,620,2487.5,109.81,0.05
A,621,2690.63,607.08,0.18
A,622,4561.19,675.18,0.25
A,623,4241.47,2070.78,0.08
A,624,4621.97,4981.68,0.41
A,625,1991.25,2370.78,0.03
A,626,2140.53,655.51,0.1
A,627,1735.81,3747.99,0.03
A,628,4759.02,2468.27,0.11
A,629,1389.18,598.41,0.02
A,630,4684.64,3934.43,0.09
A,631,3909.22,4076.93,0.2
A,632,1968.82,735.89,0.21
A,633,1784.15,4045.11,0.01
A,634,2726.95,4870.82,0.02
A,635,2301.98,1699.81,0.09
A,636,3809.18,3502.01,0.29
A,637,3744.08,1864.47,0.2
A,638,153.46,3567.26,0.14
A,639,4007.2,1224.67,0.07
A,640,2432.46,801.19,0.24
A,641,4248.43,4044.07,0.06
A,642,4320.34,4745.89,0.2
A,643,64.66,17.17,0.5
A,644,4773.17,3495.98,0.2
A,645,403.31,3346.43,0.06
A,646,1481.47,1166.62,0.1
A,647,1053.86,1758.33,0.21
A,648,2581.95,3222.88,0.06
A,649,3944.4,2758.63,0.14
A,650,886.18,2930.44,0.07
A,651,4382.93,1959.7,0.04
A,652,2339.31,2547.94,0.05
A,653,2229.7,1248.69,0.04
A,654,1561.71,405.26,0.11
A,655,3112.24,2959.86,0.06
A,656,2188.02,462.05,0.26
A,657,2641.04,328.8,0.13
A,658,4261.77,2066.97,0.02
A,659,537.56,1432.76,0.11
A,660,85.12,4559.37,0.12
A,661,4742.18,394.68,0.11
A,662,3670.56,3098.49,0.1
A,663,577.87,2632.65,0.03
A,664,3470.27,4526.69,0.15
A,665,1611.65,300.33,0.2
A,666,348.72,2011.27,0.03
A,667,2240.75,4743.11,0.1
A,668,3975.18,742.13,0.2
A,669,1807.23,3209.18,0.11
A,670,4466.88,3216.26,0.29
A,671,3273.99,2877.98,0.11
A,672,1057.86,1302.42,0.13
A,673,4941.42,2437.57,0.07
A,674,716.92,4016.94,0.04
A,675,1172.65,1235.88,0.14
A,676,1456.94,4232.59,0.12
A,677,4479.66,3104.31,0.06
A,678,135.03,4641.74,0.25
A,679,2955.34,2133.11,0.06
A,680,3192.15,2734.74,0.2
A,681,31.83,3614.12,0.2
A,682,400.21,3177.18,0.01
A,683,4397.54,2485.34,0.2
A,684,2998.76,286.17,0.06
A,685,210.25,3358.05,0.09
A,686,3611.01,2447.57,0.53
A,687,3645.41,1677.05,0.25
A,688,1704.42,3803.61,0.2
A,689,2790.3,3892.36,0.31
A,690,3284.49,204.16,0.05
A,691,4945.62,1454.18,0.07
A,692,1983.51,2821.09,0.11
A,693,2470.64,4829.4,0.04
A,694,2631.52,2986.62,0.27
A,695,1217.14,1718.91,0.24
A,696,1951.75,3835.29,0.14
A,697,4445.21,2245.29,0.05
A,698,3169.26,3101.56,0.03
A,699,2509.92,4182.93,0.2
A,700,2595.08,3486.74,0.01
A,701,204.09,1478.79,0.18
A,702,428.16,53.24,0.2
A,703,4271.59,3861.59,0.04
A,704,56.46,944.01,0.09
A,705,2456.28,4059.93,0.34
A,706,3919.72,1233.38,0.03
A,707,3563.37,1155.7,0.07
A,708,4601.24,3878.13,0.32
A,709,4675.06,3269.52,0.29
A,710,2831.58,1814.57,0.05
A,711,4515.92,4343.53,0.09
A,712,3927.38,4479.4,0.2
A,713,8.58,3392.32,0.1
A,714,2015.11,127.54,0.04
A,715,3534.29,1548.31,0.16
A,716,4461.45,344.38,0.28
A,717,2826.76,1012.99,0.07
A,718,929.95,1142.95,0.01
A,719,2272.76,3951.73,0.2
A,720,4928.02,3210.76,0.15
A,721,2180.1,761.63,0.2
A,722,2282.53,873.19,0.07
A,723,2499.52,999.72,0.1
A,724,3153.07,4324.26,0.11
A,725,1979.49,176.99,0.03
A,726,1449.62,1363.79,0.04
A,727,4524.66,2506.86,0.12
A,728,2096.48,1553.48,0.21
A,729,2066.91,2719.17,0.09
A,730,2573.0,1416.5,0.1
A,731,2985.84,3236.11,0.2
A,732,4823.68,1841.13,0.09
A,733,233.4,1880.14,0.03
A,734,1262.11,2232.71,0.35
A,735,2190.24,3500.32,0.4
A,736,3488.94,4652.6,0.01
A,737,4091.05,2342.68,0.01
A,738,2971.22,1180.35,0.07
A,739,4419.9,3848.05,0.07
A,740,2091.73,1822.52,0.3
A,741,4081.41,2242.7,0.78
A,742,3849.79,3094.51,0.1
A,743,3749.52,715.71,0.15
A,744,3404.72,3038.09,0.2
A,745,3591.14,4890.18,0.18
A,746,2364.64,3818.49,0.21
A,747,3403.0,3592.73,0.26
A,748,224.03,4407.66,0.1
A,749,4466.47,1223.3,0.01
A,750,1853.3,2906.16,0.31
A,751,3617.17,4780.38,0.22
A,752,554.63,4994.76,0.37
A,753,2180.49,314.14,0.05
A,754,1580.12,1568.77,0.07
A,755,992.23,4726.19,0.04
A,756,4053.4,863.4,0.06
A,757,3737.76,1018.71,0.01
A,758,353.52,1809.14,0.2
A,759,2189.66,2054.08,0.08
A,760,2982.55,3953.18,0.05
A,761,2261.73,1579.06,0.1
A,762,2587.55,3797.32,0.04
A,763,643.11,1787.75,0.04
A,764,692.32,637.37,0.15
A,765,1292.34,3551.83,0.02
A,766,3398.01,756.67,0.2
A,767,57.55,1886.04,0.02
A,768,639.69,2103.26,0.07
A,769,3222.6,739.38,0.12
A,770,1664.67,2117.6,0.05
A,771,2003.81,2291.61,0.12
A,772,2854.98,2530.84,0.01
A,773,1936.52,2686.88,0.04
A,774,4088.76,3678.57,0.1
A,775,3997.87,246.1,0.02
A,776,764.09,71.29,0.03
A,777,494.48,3012.33,0.03
A,778,4656.5,4772.7,0.2
A,779,4602.12,1022.92,0.2
A,780,303.39,1303.61,0.2
A,781,4274.08,1104.41,0.07
A,782,1585.84,3441.25,0.09
A,783,4723.74,4412.3,0.15
A,784,2209.39,152.86,0.05
A,785,2158.5,650.42,0.14
A,786,883.91,4545.02,0.35
A,787,2206.96,4911.23,0.08
A,788,272.93,1257.34,0.04
A,789,2173.68,1035.93,0.09
A,790,1889.42,4925.58,0.2
A,791,3161.12,3166.78,0.02
A,792,702.26,1028.63,0.09
A,793,1057.06,3586.59,0.2
