Feature,Instance,LocX,LocY,Checkin
A,46,763419.34,13413902.73,0.01827697439783437
A,47,989018.63,13172968.7,0.8011669226550142
A,48,804123.68,13363899.38,0.3040281367473744
A,49,803166.67,13365004.23,0.7280538886369775
A,50,802013.75,13367183.86,0.8590848163504764
A,51,804884.85,13367888.87,0.5833885611370038
A,52,803554.04,13370195.46,0.7631324297502424
A,53,801720.58,13364599.94,0.8120201909860638
A,54,803226.74,13367034.61,0.3428910170460939
A,55,804084.32,13357172.27,0.4131683393970589
A,56,797920.76,13363639.88,0.06482188479844464
A,57,797381.78,13360404.4,0.006067525991670819
A,58,1023299.23,13736026.49,0.8177103294885255
A,59,1004139.15,13616243.88,0.034671423315328576
A,60,639745.61,13424699.51,0.7199030827035338
A,61,808956.7,13444897.54,0.9224377557940396
A,62,806082.91,13284741.15,0.025853385941371432
A,63,996339.09,13574023.48,0.20897311439609095
A,64,744943.06,13447999.36,0.6647470877410853
A,65,961215.83,13596577.11,0.1235289129463102
A,66,354152.52,13246657.26,0.01236026852436145
A,67,345790.72,13248925.99,0.8848769270454905
A,68,1015457.65,13486718.1,0.5711946463013907
A,69,972874.29,13627813.61,0.05171863720391502
A,70,929985.95,13629547.73,0.2868682885717683
A,71,827835.38,13343390.61,0.4545579680038306
A,72,1074782.51,13646352.14,0.5975190726273361
A,73,357958.17,13213335.8,0.9449617988848106
A,74,360995.6,13183875.75,0.4308803788748994
A,75,952619.5,13589796.54,0.8112773946838806
A,76,762875.95,13346759.74,0.38051515301515815
A,77,903820.41,13775535.99,0.3926171325937735
A,78,888180.51,13808466.52,0.4190028945379312
A,79,885954.03,13758390.78,0.9771327054163268
A,80,744161.55,13444346.23,0.3682776191480068
A,81,902989.71,13390381.24,0.011225303930875395
A,82,982042.27,13153650.54,0.05170841045307917
A,83,898461.34,13536539.9,0.6896374757188934
A,84,943254.74,13529137.86,0.015629193203232417
A,85,928674.51,13634334.67,0.9934175679320054
A,86,766358.43,13415314.98,0.994620717056282
A,87,761385.08,13414176.71,0.5791061948278319
A,88,767785.95,13422056.56,0.16810504924689573
A,89,769498.22,13417029.05,0.2609804505978625
A,90,657609.21,13453402.21,0.1813573538728788
A,91,536788.38,13283947.04,0.4201460127360922
A,92,537912.21,13286467.48,0.11208197895710824
A,93,1025211.6,13727448.31,0.21122664842246675
A,94,883922.81,13807497.55,0.5559064560413457
A,95,885555.21,13807888.48,0.33093278908494994
A,96,881983.4,13795238.4,0.8798561953184088
A,97,886113.96,13766150.34,0.5676243841816018
A,98,928270.64,13621411.72,0.30349147864126297
A,99,968120.53,13632506.99,0.291066781443586
A,100,853734.04,13748397.01,0.9092241433873772
A,101,950005.69,13058668.02,0.6395783573031613
A,102,985398.5,13223474.35,0.6662670734493409
A,103,971201.4,13159948.85,0.8096262749009113
A,104,766015.04,13410262.96,0.5738314349241443
A,105,1030334.6,13587682.63,0.4314857517605426
A,106,954141.64,13568383.4,0.6922752533971773
A,107,960177.6,13563492.88,0.3268791971526032
A,108,964721.71,13567463.44,0.0422185144128624
A,109,955321.94,13556132.05,0.4924647888776875
A,110,647371.71,13417683.94,0.8997872879011265
A,111,1049402.25,13298066.17,0.8270460935995905
A,112,1023196.39,13735964.11,0.29847213295602537
A,113,1001161.54,13596503.6,0.004629869402060005
A,114,883923.84,13481052.4,0.1796470175419046
A,115,986966.24,13662301.17,0.8925966143204822
A,116,1006732.83,13324169.35,0.7477400199964523
A,117,1006462.08,13325964.73,0.2962089178936289
A,118,1007008.62,13326752.16,0.15780221403065853
A,119,1009463.04,13323797.36,0.8247045480112695
A,120,1008559.13,13323848.59,0.7739297969431939
A,121,1006286.29,13331431.06,0.6554756146258799
A,122,1007225.81,13330285.01,0.6251529347715109
A,123,1007003.57,13331161.53,0.8341882642037437
A,124,1007956.13,13327724.47,0.616132288829797
A,125,1008961.1,13326351.21,0.7348326298734524
A,126,1007797.55,13329738.15,0.6483558741870151
A,127,1006948.0,13328683.42,0.02993943898086382
A,128,1009946.77,13331761.85,0.7515931823071502
A,129,1058391.65,13459965.6,0.6136792736977134
A,130,916137.92,13469140.75,0.5977954473767719
A,131,927747.4,13412858.02,0.4339047371240196
A,132,928373.65,13334610.85,0.1830969541879336
A,133,930847.55,13357670.12,0.4895806792545523
A,134,806371.79,13284048.39,0.8242330383410255
A,135,899193.21,13809692.77,0.4438003182365032
A,136,904682.73,13795903.31,0.7615956755889904
A,137,1066131.72,13483569.5,0.1939802404871396
A,138,808543.7,13632085.99,0.07144356083425253
A,139,895688.83,13777402.65,0.20415773791761005
A,140,900503.26,13796113.81,0.7101282997658086
A,141,905473.37,13799849.36,0.2968593889288089
A,142,893178.63,13759775.18,0.9041095804452493
A,143,901114.2,13731475.66,0.8823138303753519
A,144,906548.22,13790400.23,0.5436924421199952
A,145,894704.71,13747802.26,0.6571726260784918
A,146,896193.64,13751948.79,0.6955603023753895
A,147,899598.53,13754218.63,0.3985174231734978
A,148,902095.49,13756685.61,0.7938247895035399
A,149,891517.03,13766817.48,0.29881213574111143
A,150,908419.42,13795200.53,0.2865378690723415
A,151,893053.66,13732449.09,0.9989390018098095
A,152,905684.05,13767082.56,0.03951130733493469
A,153,906483.8,13771262.5,0.7379683430197269
A,154,889383.7,13782037.0,0.08929108513511963
A,155,890902.29,13786243.67,0.7586838609587806
A,156,906043.03,13801252.7,0.6950681387991305
A,157,893775.78,13721863.92,0.0530058940342294
A,158,996466.53,13574184.98,0.06723471476187293
A,159,896064.63,13804015.94,0.6269094649123189
A,160,998881.61,13595877.67,0.0006981839232388376
A,161,885026.15,13771411.74,0.2284338382037073
A,162,886160.1,13780966.68,0.8200015502232253
A,163,907013.51,13744031.07,0.7988043792901779
A,164,905520.41,13747046.02,0.09156167718889964
A,165,883418.26,13786597.85,0.7222512062051677
A,166,886507.63,13726911.48,0.664512268785541
A,167,883877.69,13732853.38,0.6241958977345298
A,168,894449.7,13731384.34,0.0621044351164407
A,169,867302.28,13745549.13,0.9367979609700112
A,170,891111.31,13732711.94,0.9929973217376484
A,171,890308.0,13709125.85,0.3810312940271741
A,172,868414.05,13737745.02,0.5136569995720391
A,173,901194.01,13719574.03,0.7601453501684212
A,174,902340.03,13717497.98,0.4754901299624511
A,175,882752.65,13735846.06,0.6803636863258855
A,176,878124.74,13686010.89,0.28650172160000986
A,177,864870.66,13679901.92,0.4045524760989744
A,178,863389.34,13767600.45,0.5702850047696766
A,179,890019.04,13762868.09,0.44838964195037656
A,180,874785.79,13774337.59,0.5216396828451016
A,181,874510.64,13672955.4,0.25175134848352143
A,182,856785.36,13753871.14,0.8092310401449532
A,183,861352.46,13691635.37,0.11727193307141115
A,184,862834.16,13746659.55,0.9365569095788032
A,185,861592.06,13707633.41,0.028256105528659318
A,186,886739.31,13674192.78,0.30359849342487466
A,187,874093.81,13776585.15,0.2542670830481788
A,188,886901.28,13785122.12,0.06375910158601661
A,189,859519.76,13751228.19,0.3584652376225345
A,190,874164.65,13724686.19,0.2623923261636337
A,191,856080.52,13720616.51,0.3687744701119743
A,192,852923.94,13729402.96,0.500044982561329
A,193,867497.52,13752507.9,0.632111972925936
A,194,884237.63,13708065.55,0.9453853685511608
A,195,897807.2,13713871.58,0.7073309855565403
A,196,905805.76,13713215.58,0.8665256059230276
A,197,860196.53,13729787.2,0.6924286296904941
A,198,900847.11,13801511.09,0.13355998647029646
A,199,885226.09,13781722.92,0.7667678792105563
A,200,852961.0,13696726.37,0.7783580000949053
A,201,852843.64,13698046.17,0.5362100455077411
A,202,853921.37,13699547.52,0.9736113830372408
A,203,853426.27,13696735.28,0.3214751686216004
A,204,853551.85,13695848.72,0.60768025145368
A,205,908965.36,13742398.3,0.9684696029644032
A,206,883909.48,13807398.42,0.947820735010508
A,207,864393.71,13753210.68,0.008585167102442394
A,208,853445.83,13732032.54,0.2272406809830022
A,209,865189.3,13759564.68,0.19397270265679967
A,210,868240.41,13709319.65,0.8289743160116152
A,211,896994.32,13685060.85,0.7542224901967655
A,212,888729.85,13718670.77,0.03317154723632454
A,213,892474.9,13700064.3,0.2246333141963558
A,214,890368.46,13734858.15,0.15514320693381306
A,215,858059.06,13684838.1,0.8342798908240268
A,216,878956.95,13701252.69,0.903893225917272
A,217,880543.16,13699474.01,0.2421308239070832
A,218,874800.16,13715214.77,0.3861091154644245
A,219,876669.44,13699158.82,0.04969213282612284
A,220,854703.59,13756695.63,0.305799776217921
A,221,883404.93,13743210.23,0.9476423353413496
A,222,888294.27,13754803.36,0.8525446952285791
A,223,902811.7,13723777.36,0.1102610346274756
A,224,861796.69,13738887.73,0.7854983325386501
A,225,857026.12,13724871.07,0.04728495480817474
A,226,870006.43,13728123.25,0.4789352790152028
A,227,889594.8,13788678.35,0.1988922824905497
A,228,894794.83,13798689.94,0.6837339846713374
A,229,870281.72,13716219.39,0.4569351323969428
A,230,874289.91,13678057.53,0.22554512399488624
A,231,854900.16,13731156.01,0.5993128917036579
A,232,860955.51,13714553.2,0.17961321423276988
A,233,874936.7,13739531.49,0.5292638082483794
A,234,858122.84,13751383.0,0.5848901363947989
A,235,902975.39,13756978.53,0.7324186392178901
A,236,744240.85,13448561.81,0.5113075185584243
A,237,875329.88,13766188.21,0.7394179750349036
A,238,868767.48,13677096.36,0.333267345786714
A,239,881060.2,13733663.09,0.8194950256938159
A,240,877850.73,13721790.41,0.5026862374098396
A,241,853957.4,13670065.19,0.16980383784561304
A,242,860526.66,13734213.28,0.10874432094122533
A,243,866453.46,13754906.94,0.19806045994564925
A,244,865014.57,13747155.17,0.4707371892033504
A,245,889583.53,13756683.38,0.9001686680973583
A,246,873265.2,13660187.26,0.41504499659866734
A,247,857333.75,13733685.36,0.5266532273420095
A,248,876557.56,13696427.88,0.3176158170514066
A,249,862833.13,13715534.42,0.1854839199612444
A,250,882359.83,13731157.13,0.1481665333605926
A,251,883626.44,13800928.59,0.4118821956999293
A,252,859376.78,13756554.19,0.2613051348143657
A,253,880128.68,13680356.33,0.40073784546010427
A,254,910504.84,13757660.15,0.7161056989883052
A,255,869295.55,13663427.18,0.06049282821377721
A,256,870082.44,13793780.49,0.7389477312108174
A,257,870145.1,13703087.05,0.006448338995500347
A,258,895622.27,13719247.7,0.8753249791808115
A,259,860205.78,13759914.4,0.3141557217780332
A,260,853033.05,13736725.93,0.3417760329734309
A,261,859283.18,13728601.05,0.2523477447803465
A,262,895036.52,13759985.68,0.6611563196076649
A,263,860274.69,13672183.56,0.10986142407440412
A,264,896623.68,13658701.5,0.7536781245870151
A,265,871361.24,13784279.0,0.8946017163449445
A,266,858280.23,13690825.67,0.6993450267025183
A,267,866708.32,13720227.81,0.7338178076315529
A,268,853193.64,13719772.28,0.11650685394855533
A,269,860890.72,13732679.64,0.5957135111431964
A,270,885740.78,13654468.1,0.3488268959625248
A,271,875751.79,13744445.39,0.7538644303622666
A,272,863180.63,13725835.59,0.5829907991300455
A,273,866374.33,13700992.07,0.9985993469622751
A,274,877791.21,13647994.93,0.8913835733511205
A,275,910765.48,13744717.15,0.18951390143750252
A,276,871025.38,13732318.78,0.7065544677164223
A,277,851979.92,13679913.05,0.6187520940576153
A,278,896539.73,13792418.36,0.4067881033626121
A,279,883491.07,13797619.61,0.4025475198010216
A,280,861736.02,13720720.09,0.38802938977993695
A,281,854380.42,13715341.74,0.10208751012976812
A,282,870680.27,13795546.91,0.7301107368801046
A,283,897041.42,13643082.14,0.979466276995916
A,284,856992.17,13747504.89,0.3281137946179473
A,285,873439.76,13658526.64,0.12948339127955932
A,286,854229.12,13753721.9,0.3595242766732487
A,287,899077.55,13693972.04,0.4577367195637184
A,288,870238.58,13769963.85,0.9495392541274692
A,289,865225.28,13777810.29,0.2858147252787817
A,290,867421.48,13724692.87,0.3806805722554729
A,291,944066.08,13723982.29,0.395936302224859
A,292,925801.05,13745912.21,0.7493149936435067
A,293,940706.17,13755333.51,0.8632029376181947
A,294,903466.45,13789382.25,0.036133457462994345
A,295,879615.68,13754516.01,0.13774494162242934
A,296,947432.76,13737665.94,0.40601480132950296
A,297,950110.46,13736275.97,0.3915910447212416
A,298,938525.56,13736999.91,0.4950070631996256
A,299,931746.78,13700762.63,0.7329331103062987
A,300,935799.23,13666182.63,0.943741033841308
A,301,934863.76,13712725.52,0.6126386980646146
A,302,933107.67,13689997.03,0.2306404601587996
A,303,925252.16,13771853.9,0.4530148388810564
A,304,921995.76,13763272.38,0.8007772259591791
A,305,903787.67,13775735.35,0.5390334231044942
A,306,924846.07,13694734.96,0.4481963621778093
A,307,925538.85,13695228.36,0.7236985347571063
A,308,940180.67,13778480.77,0.10926389297239347
A,309,933799.76,13759526.81,0.671752450704739
A,310,951165.23,13750127.79,0.9267329225030384
A,311,940591.09,13714542.06,0.9806462397531248
A,312,938373.78,13780053.4,0.8193733638577205
A,313,912711.33,13715013.18,0.8357351885772201
A,314,947204.83,13698228.83,0.7343054921631225
A,315,932271.8,13741614.22,0.8251056581195751
A,316,919616.17,13691988.43,0.3497338021949952
A,317,935323.36,13761347.81,0.5664741695487002
A,318,935301.96,13678970.81,0.910526865625598
A,319,931744.74,13682439.06,0.8857145368848328
A,320,938464.44,13769365.76,0.6785259902296219
A,321,914124.44,13704892.45,0.3729071841082432
A,322,931152.4,13777460.57,0.8376228108693775
A,323,953693.27,13766249.46,0.2313860744538704
A,324,954887.87,13764339.37,0.7979104284293548
A,325,919919.4,13688599.26,0.3277242609119575
A,326,942002.44,13730865.32,0.6109570624339611
A,327,949106.43,13744782.86,0.06966768671567902
A,328,930871.0,13785681.23,0.38532773631155626
A,329,911731.31,13798165.36,0.17615971703984767
A,330,926653.91,13730399.77,0.8743529524061688
A,331,926347.87,13684244.46,0.11324454514323455
A,332,929837.07,13698637.58,0.9695924449432238
A,333,946310.35,13710747.49,0.2444839509572816
A,334,919587.58,13673094.62,0.8395955859126248
A,335,952781.19,13589599.41,0.3006538239641241
A,336,951116.41,13726590.71,0.31854775780111644
A,337,915002.02,13785392.76,0.6922606085375649
A,338,939057.27,13675157.3,0.6061897414193129
A,339,916904.98,13681879.95,0.51948738338539
A,340,906270.06,13782245.28,0.20285033802179586
A,341,907891.85,13777252.29,0.5499692605810202
A,342,917908.89,13705865.88,0.3413864967274909
A,343,938437.95,13712303.41,0.4276806184946895
A,344,929602.53,13787867.54,0.4217277389458647
A,345,930439.7,13672854.05,0.8165445989724025
A,346,939949.48,13667376.58,0.8730032957599285
A,347,942642.87,13695014.52,0.32768517101245864
A,348,901332.16,13811096.1,0.07623967427135825
A,349,989867.99,13692477.37,0.6809986458729917
A,350,942692.75,13760121.56,0.13903717596078846
A,351,939390.33,13763926.16,0.09265316712783568
A,352,941841.56,13710817.65,0.4854621643725314
A,353,923826.69,13712686.54,0.3292652623182871
A,354,995036.17,13579252.58,0.6469470322512247
A,355,930304.09,13721170.05,0.9934424308803476
A,356,930417.27,13768783.27,0.6709609352136421
A,357,941442.41,13752955.63,0.03838602179200702
A,358,909036.93,13786780.51,0.5441642569633567
A,359,915966.32,13725778.78,0.6801473388241386
A,360,936365.76,13724756.35,0.08067199305976193
A,361,904056.71,13692266.87,0.6781394895163009
A,362,903697.65,13690178.57,0.7047185734015929
A,363,929412.86,13719020.49,0.8166042515461753
A,364,940552.39,13732411.22,0.5072435032093098
A,365,912617.32,13801437.58,0.8064361823567481
A,366,912717.46,13781617.12,0.13297844706692385
A,367,932588.83,13698223.26,0.5579835982464967
A,368,936822.22,13748538.46,0.433798077771377
A,369,913110.87,13753200.66,0.8156534896489088
A,370,918412.33,13737075.65,0.2337657088914119
A,371,935552.64,13708749.4,0.1509931189716911
A,372,912815.56,13794191.46,0.6511745525849847
A,373,730097.86,13445975.66,0.7796126277297782
A,374,729787.39,13445173.75,0.26806919693862885
A,375,918227.5,13799316.98,0.8150658400773968
A,376,917767.96,13779304.95,0.262585210480041
A,377,953122.85,13764724.73,0.0009732656935999008
A,378,937206.32,13777981.81,0.8893787931971181
A,379,923213.36,13790747.72,0.6730484873387295
A,380,947954.74,13742683.43,0.9696449576225716
A,381,941489.25,13741973.96,0.3812482430510689
A,382,950009.76,13747842.36,0.9101789643248168
A,383,912730.75,13733303.34,0.9371750768307434
A,384,953652.6,13752539.08,0.6556748592700234
A,385,1015298.2,13623469.95,0.22666288468221085
A,386,972633.88,13646288.65,0.28455249896553114
A,387,1001088.75,13644005.45,0.3279434935984882
A,388,959220.51,13665572.29,0.2798149356091729
A,389,993537.76,13702951.17,0.9743052940514372
A,390,965412.14,13659664.9,0.4509573192215378
A,391,992753.54,13667988.03,0.2824993229159389
A,392,966066.99,13706667.78,0.3234956187515242
A,393,962099.55,13636436.34,0.11765088332204655
A,394,945913.45,13669693.2,0.06826232901572192
A,395,944643.24,13692657.8,0.36388793151131904
A,396,954122.33,13716502.28,0.11400225829667175
A,397,963615.87,13686488.69,0.6269710442043851
A,398,958209.46,13699255.71,0.32905808869014064
A,399,980276.99,13642782.54,0.639084977142742
A,400,984036.12,13690729.89,0.4255064669353341
A,401,950095.2,13665603.47,0.3374411999622872
A,402,998617.69,13666995.67,0.212270071489864
A,403,965115.67,13682599.44,0.4793822698674664
A,404,1004322.06,13663289.08,0.4222641710803986
A,405,964531.83,13701799.54,0.6846215370033041
A,406,971723.9,13723643.71,0.6036882887941277
A,407,959332.28,13641987.31,0.6258988738699071
A,408,967587.65,13754142.9,0.19211977053598628
A,409,969983.8,13691266.72,0.2726939368951539
A,410,966694.37,13650109.96,0.5771543301896201
A,411,970083.25,13744141.34,0.4502106837654136
A,412,969040.04,13745040.14,0.09249752049364757
A,413,960250.74,13746609.43,0.5212243101441446
A,414,961703.41,13719277.77,0.03313789871238049
A,415,980264.83,13640497.1,0.16204887331673634
A,416,976584.08,13691834.73,0.9008448701213604
A,417,999595.49,13603082.58,0.5242654156840074
A,418,984560.84,13619184.2,0.0008006887391464046
A,419,975034.65,13638954.55,0.2368250907160048
A,420,968057.6,13649997.47,0.07940246168138154
A,421,998530.72,13660483.52,0.3284640230224398
A,422,983975.34,13645188.26,0.9963823179022326
A,423,986322.17,13630468.81,0.2119052829040352
A,424,885613.65,13760640.57,0.5595210995604543
A,425,887087.84,13757083.22,0.7632096117126472
A,426,888229.7,13759895.47,0.3602033651602944
A,427,884832.36,13760512.49,0.9250284591238894
A,428,955995.89,13730941.06,0.07519315020390926
A,429,971052.26,13649281.32,0.8248009562225211
A,430,958563.09,13658639.13,0.22413653114799925
A,431,889083.43,13767242.94,0.6866540918448681
A,432,963949.97,13649127.63,0.14273371536443658
A,433,948673.04,13622752.69,0.2794462701742614
A,434,961724.74,13652095.8,0.3650484210182016
A,435,974206.07,13641774.59,0.12602572433596693
A,436,972658.23,13624790.87,0.5468591698767858
A,437,952564.59,13660459.02,0.930859607060122
A,438,1003347.86,13653291.97,0.34624194051810553
A,439,993429.49,13650351.65,0.5357514907785003
A,440,971059.36,13712301.18,0.5020686744271301
A,441,986110.5,13621464.07,0.6890486089510957
A,442,985901.87,13624196.12,0.6017545063371229
A,443,975371.33,13636549.94,0.28454661765329137
A,444,962400.2,13701722.69,0.19105263413511545
A,445,966819.23,13699073.06,0.7510471989436212
A,446,959283.51,13714695.76,0.9487109336600864
A,447,986382.93,13657761.49,0.472807458813011
A,448,991879.18,13671321.51,0.698220937157843
A,449,986487.24,13690284.38,0.1134682970583798
A,450,978865.1,13647206.39,0.07780070911759185
A,451,944763.35,13678960.79,0.2366212724051564
A,452,990492.55,13702239.48,0.1152099091021429
A,453,961895.39,13686407.38,0.09285253563172667
A,454,998467.02,13618476.96,0.8264187606647093
A,455,988682.51,13669149.68,0.20982419301242072
A,456,957533.66,13751812.91,0.3169251509504586
A,457,967622.16,13687912.07,0.08143733910838691
A,458,975504.17,13657974.22,0.8281459395149107
A,459,980337.8,13709486.71,0.07932797154082716
A,460,971893.32,13707683.53,0.4345736042236443
A,461,970459.7,13636108.89,0.3753344880722962
A,462,996701.2,13697890.25,0.005786704204365778
A,463,996822.57,13695374.26,0.7302301757695305
A,464,985386.35,13673400.9,0.11194615957956866
A,465,998618.7,13648538.45,0.6798971276231116
A,466,998147.46,13702269.55,0.3954448294343033
A,467,977099.13,13669166.39,0.2494505702426009
A,468,982143.59,13639545.95,0.1790985576402988
A,469,960049.58,13637338.48,0.022889054237965282
A,470,986380.91,13634047.32,0.09652233094757934
A,471,1001021.02,13649935.1,0.230705518564854
A,472,984360.27,13687801.81,0.3465257767372969
A,473,946460.96,13633700.94,0.7258458474285211
A,474,943361.63,13667136.0,0.8582591715186948
A,475,993829.17,13695837.59,0.4295619651405295
A,476,983403.97,13625723.08,0.6236372391229372
A,477,958966.49,13651587.92,0.6676433945207401
A,478,950504.11,13694405.29,0.42224321448938384
A,479,956688.08,13638605.94,0.20643294627406936
A,480,992294.11,13612081.76,0.9020433173085668
A,481,965443.62,13740864.66,0.022110157346869608
A,482,1000268.85,13639598.3,0.5934244137634228
A,483,995616.84,13593928.59,0.7532018306846461
A,484,956686.04,13696991.44,0.3598076364930696
A,485,967087.22,13681075.82,0.21419571770003631
A,486,952457.82,13635583.2,0.7006561586877172
A,487,977637.48,13684183.21,0.2460482091045029
A,488,927119.07,13669706.56,0.7558353288002891
A,489,929258.87,13628790.38,0.4956877038340836
A,490,931361.41,13630869.77,0.2703085505691549
A,491,929816.68,13632890.13,0.2047642256772392
A,492,934896.37,13659696.09,0.868935385989611
A,493,906759.9,13645855.4,0.15028956816126826
A,494,927790.24,13667125.98,0.5904455214691164
A,495,928810.15,13622111.16,0.4786441179717963
A,496,910016.25,13644936.55,0.424055783025142
A,497,920177.7,13611215.25,0.2633005618384354
A,498,886716.76,13633729.9,0.4468429934820605
A,499,938343.22,13641476.1,0.5665843781971548
A,500,928981.49,13616234.97,0.1692596678145999
A,501,935595.43,13600422.92,0.9970841967134968
A,502,941616.53,13635751.37,0.3736013037981415
A,503,939900.6,13654895.79,0.5813092944219019
A,504,930770.06,13667247.38,0.4968459384130921
A,505,924867.5,13610348.75,0.4838983305157967
A,506,937978.53,13641325.74,0.033652502902824837
A,507,913167.07,13642959.63,0.6532577417614205
A,508,925690.87,13642672.28,0.14532201407115686
A,509,931639.74,13605968.33,0.4347489722224252
A,510,923321.54,13599635.49,0.7524303132129545
A,511,922543.86,13648252.21,0.19756119902956226
A,512,939190.7,13619016.02,0.8953982277974303
A,513,929403.68,13636372.85,0.8668682682569387
A,514,886886.93,13603432.3,0.20965822876090434
A,515,938869.85,13607765.94,0.2376142497505553
A,516,938260.71,13654743.2,0.14025769349720296
A,517,815852.28,13550595.55,0.4335706535145025
A,518,821641.45,13646816.57,0.3460156107257573
A,519,824848.51,13614016.36,0.9957916333953336
A,520,790915.35,13594671.47,0.91652360654902
A,521,821156.76,13572121.18,0.18477088419606835
A,522,788568.48,13570683.32,0.9878911528725188
A,523,863735.79,13552200.48,0.09960123870416304
A,524,821797.49,13596090.4,0.5213300805151774
A,525,796102.6,13595256.19,0.6536900727113898
A,526,817041.47,13637205.94,0.9626049087910592
A,527,821043.08,13608457.58,0.5804601684982846
A,528,812072.6,13598167.56,0.5980220558403321
A,529,827290.14,13553898.96,0.22507922435271688
A,530,827434.72,13556052.97,0.019977529543642625
A,531,791769.06,13601156.89,0.1904827720132044
A,532,796399.09,13603118.22,0.7038190343545724
A,533,822823.58,13621500.82,0.6062916716279474
A,534,848036.89,13603847.73,0.5445332648899989
A,535,788352.64,13542340.36,0.1622258447126489
A,536,826820.26,13587371.89,0.9368128546418799
A,537,810671.57,13597091.67,0.6395337802559211
A,538,821089.59,13553020.2,0.26432460947731284
A,539,796039.36,13583860.2,0.9430545513551551
A,540,794433.34,13563257.88,0.5044452767311719
A,541,814056.79,13551015.44,0.8801712019431748
A,542,813065.79,13544372.97,0.29918190444945625
A,543,802784.45,13627636.52,0.997869180006054
A,544,786246.86,13542331.45,0.004164434236849757
A,545,786270.74,13576643.04,0.30536764733880184
A,546,839676.95,13572123.41,0.5778287282415464
A,547,846832.69,13533540.55,0.4075006422173089
A,548,792023.19,13533090.59,0.4480487633638988
A,549,832630.44,13614434.02,0.35271412428088744
A,550,802260.3,13524493.48,0.5360225840882809
A,551,810550.5,13551113.45,0.23179898804193946
A,552,832943.13,13634950.58,0.7212883306775799
A,553,869161.99,13621953.01,0.005107031300239151
A,554,783257.98,13539451.27,0.5467556660987721
A,555,860103.96,13610134.91,0.5781172542745588
A,556,843943.54,13610991.39,0.8273298530355576
A,557,822952.74,13609133.64,0.5639549160287417
A,558,823528.23,13588497.9,0.8671381225586194
A,559,811103.08,13599460.63,0.7511538822646349
A,560,863115.86,13591272.27,0.6645934355104188
A,561,789784.54,13583283.28,0.3637872255744449
A,562,831712.94,13632364.43,0.20825722300278404
A,563,819689.1,13595437.73,0.6227024823757391
A,564,825384.62,13610706.26,0.363424661768864
A,565,813897.49,13558227.03,0.6216026894364558
A,566,817871.72,13643101.07,0.7023949835780054
A,567,797338.25,13596144.97,0.6900704267040111
A,568,879449.47,13611425.75,0.8755654859710519
A,569,866043.4,13622609.01,0.17609836009720314
A,570,862129.84,13619438.14,0.7292626032936954
A,571,795584.23,13608546.68,0.7107722154710534
A,572,847718.6,13580859.74,0.24113721593367954
A,573,851929.47,13558886.37,0.4109958474836788
A,574,807295.29,13602116.95,0.237117017796599
A,575,787192.4,13578516.39,0.31849027940610064
A,576,804799.94,13591119.69,0.11152649958001216
A,577,824081.99,13556887.18,0.0632387319679868
A,578,823846.44,13554058.23,0.7289006950001943
A,579,823106.69,13555459.34,0.4377784001440067
A,580,823589.19,13555964.98,0.050105486906365404
A,581,845733.41,13601904.22,0.5572214669670666
